i,Freq,Ampl,Phase
660,6940.,9.317296e-008,147.141
661,6949.,9.916212e-008,145.2043
662,6958.,1.057375e-007,143.0269
663,6967.,1.129499e-007,140.5701
664,6976.,1.208396e-007,137.789
665,6985.,1.294241e-007,134.6322
666,6994.,1.386788e-007,131.0437
667,7003.,1.485091e-007,126.9648
668,7012.,1.587138e-007,122.3405
669,7021.,1.68944e-007,117.1291
670,7030.,1.786733e-007,111.317
671,7039.,1.872058e-007,104.9366
672,7048.,1.937561e-007,98.08203
673,7057.,1.976124e-007,90.91449
674,7066.,1.983399e-007,83.64733
675,7075.,1.959256e-007,76.51197
676,7084.,1.907766e-007,69.716
677,7093.,1.835751e-007,63.41131
678,7102.,1.750795e-007,57.68252
679,7111.,1.659661e-007,52.55417
680,7120.,1.567524e-007,48.00749
681,7129.,1.477881e-007,43.99799
682,7138.,1.392822e-007,40.46956
683,7147.,1.313411e-007,37.36367
684,7156.,1.240024e-007,34.62466
685,7165.,1.172619e-007,32.20223
686,7174.,1.110911e-007,30.05228
687,7183.,1.054498e-007,28.13685
688,7192.,1.00293e-007,26.42355
689,7201.,9.557537e-008,24.88494
690,7210.,9.125347e-008,23.49778
691,7219.,8.728716e-008,22.24242
692,7228.,8.363991e-008,21.10218
693,7237.,8.027888e-008,20.06292
694,7246.,7.717482e-008,19.11255
695,7255.,7.43017e-008,18.24076
696,7264.,7.163651e-008,17.43868
697,7273.,6.915885e-008,16.69867
698,7282.,6.685069e-008,16.01414
699,7291.,6.469602e-008,15.37935
700,7300.,6.26807e-008,14.7893
701,7309.,6.079211e-008,14.23962
702,7318.,5.901908e-008,13.72648
703,7327.,5.735161e-008,13.24649
704,7336.,5.578078e-008,12.79667
705,7345.,5.429862e-008,12.37437
706,7354.,5.289796e-008,11.97724
707,7363.,5.157238e-008,11.60319
708,7372.,5.031606e-008,11.25033
709,7381.,4.912378e-008,10.91699
710,7390.,4.799081e-008,10.60165
711,7399.,4.691284e-008,10.30294
712,7408.,4.5886e-008,10.01965
713,7417.,4.490673e-008,9.750641
714,7426.,4.39718e-008,9.494916
715,7435.,4.307827e-008,9.25155
716,7444.,4.222342e-008,9.019708
717,7453.,4.140479e-008,8.798621
718,7462.,4.062011e-008,8.587591
719,7471.,3.986729e-008,8.385975
720,7480.,3.91444e-008,8.193184
721,7489.,3.844968e-008,8.008679
722,7498.,3.778149e-008,7.831958
723,7507.,3.71383e-008,7.662564
724,7516.,3.651873e-008,7.500071
725,7525.,3.592146e-008,7.344084
726,7534.,3.534529e-008,7.194242
727,7543.,3.478911e-008,7.050205
728,7552.,3.425185e-008,6.91166
729,7561.,3.373255e-008,6.778315
730,7570.,3.32303e-008,6.649898
731,7579.,3.274425e-008,6.526157
732,7588.,3.22736e-008,6.406855
733,7597.,3.181761e-008,6.29177
734,7606.,3.137559e-008,6.180697
735,7615.,3.094688e-008,6.073441
736,7624.,3.053087e-008,5.969823
737,7633.,3.012697e-008,5.869671
738,7642.,2.973465e-008,5.772826
739,7651.,2.93534e-008,5.679139
740,7660.,2.898274e-008,5.588467
741,7669.,2.862221e-008,5.500679
742,7678.,2.827138e-008,5.415648
743,7687.,2.792985e-008,5.333258
744,7696.,2.759723e-008,5.253395
745,7705.,2.727317e-008,5.175956
746,7714.,2.695732e-008,5.100842
747,7723.,2.664936e-008,5.027957
748,7732.,2.634897e-008,4.957213
749,7741.,2.605587e-008,4.888526
750,7750.,2.576978e-008,4.821816
751,7759.,2.549043e-008,4.757007
752,7768.,2.521758e-008,4.694027
753,7777.,2.495098e-008,4.632808
754,7786.,2.469042e-008,4.573286
755,7795.,2.443566e-008,4.515398
756,7804.,2.418652e-008,4.459086
757,7813.,2.394278e-008,4.404295
758,7822.,2.370426e-008,4.350972
759,7831.,2.347079e-008,4.299066
760,7840.,2.32422e-008,4.248528
761,7849.,2.301831e-008,4.199314
762,7858.,2.279898e-008,4.151378
763,7867.,2.258405e-008,4.104681
764,7876.,2.237338e-008,4.059181
765,7885.,2.216684e-008,4.014841
766,7894.,2.196429e-008,3.971624
767,7903.,2.176561e-008,3.929496
768,7912.,2.157068e-008,3.888423
769,7921.,2.137937e-008,3.848375
770,7930.,2.119159e-008,3.80932
771,7939.,2.100723e-008,3.77123
772,7948.,2.082617e-008,3.734076
773,7957.,2.064833e-008,3.697832
774,7966.,2.04736e-008,3.662474
775,7975.,2.03019e-008,3.627976
776,7984.,2.013315e-008,3.594314
777,7993.,1.996725e-008,3.561468
778,8002.,1.980412e-008,3.529415
779,8011.,1.964369e-008,3.498135
780,8020.,1.948588e-008,3.467609
781,8029.,1.933061e-008,3.437817
782,8038.,1.917783e-008,3.408741
783,8047.,1.902746e-008,3.380364
784,8056.,1.887943e-008,3.35267
785,8065.,1.873368e-008,3.325643
786,8074.,1.859016e-008,3.299266
787,8083.,1.84488e-008,3.273528
788,8092.,1.830954e-008,3.248412
789,8101.,1.817234e-008,3.223905
790,8110.,1.803713e-008,3.199996
791,8119.,1.790386e-008,3.176671
792,8128.,1.77725e-008,3.153919
793,8137.,1.764298e-008,3.131729
794,8146.,1.751526e-008,3.110089
795,8155.,1.73893e-008,3.08899
796,8164.,1.726505e-008,3.068422
797,8173.,1.714247e-008,3.048377
798,8182.,1.702152e-008,3.028843
799,8191.,1.690216e-008,3.009814
800,8200.,1.678435e-008,2.991281
801,8209.,1.666805e-008,2.973237
802,8218.,1.655323e-008,2.955673
803,8227.,1.643984e-008,2.938585
804,8236.,1.632786e-008,2.921963
805,8245.,1.621725e-008,2.905804
806,8254.,1.610799e-008,2.890101
807,8263.,1.600002e-008,2.874848
808,8272.,1.589334e-008,2.86004
809,8281.,1.57879e-008,2.845673
810,8290.,1.568368e-008,2.831742
811,8299.,1.558064e-008,2.818242
812,8308.,1.547877e-008,2.805172
813,8317.,1.537803e-008,2.792525
814,8326.,1.52784e-008,2.7803
815,8335.,1.517985e-008,2.768493
816,8344.,1.508236e-008,2.757103
817,8353.,1.498589e-008,2.746126
818,8362.,1.489044e-008,2.735561
819,8371.,1.479597e-008,2.725407
820,8380.,1.470246e-008,2.715661
821,8389.,1.460989e-008,2.706323
822,8398.,1.451823e-008,2.697392
823,8407.,1.442747e-008,2.688868
824,8416.,1.433759e-008,2.680751
825,8425.,1.424856e-008,2.67304
826,8434.,1.416037e-008,2.665738
827,8443.,1.407299e-008,2.658843
828,8452.,1.39864e-008,2.652358
829,8461.,1.390059e-008,2.646284
830,8470.,1.381554e-008,2.640623
831,8479.,1.373123e-008,2.635377
832,8488.,1.364764e-008,2.630549
833,8497.,1.356475e-008,2.626141
834,8506.,1.348255e-008,2.622158
835,8515.,1.340102e-008,2.618602
836,8524.,1.332014e-008,2.615478
837,8533.,1.32399e-008,2.61279
838,8542.,1.316028e-008,2.610544
839,8551.,1.308126e-008,2.608744
840,8560.,1.300283e-008,2.607395
841,8569.,1.292498e-008,2.606505
842,8578.,1.284768e-008,2.60608
843,8587.,1.277092e-008,2.606128
844,8596.,1.269469e-008,2.606655
845,8605.,1.261897e-008,2.60767
846,8614.,1.254375e-008,2.609182
847,8623.,1.246901e-008,2.611199
848,8632.,1.239474e-008,2.613733
849,8641.,1.232093e-008,2.616793
850,8650.,1.224755e-008,2.620391
851,8659.,1.21746e-008,2.624538
852,8668.,1.210206e-008,2.629247
853,8677.,1.202992e-008,2.634532
854,8686.,1.195816e-008,2.640405
855,8695.,1.188677e-008,2.646883
856,8704.,1.181574e-008,2.653981
857,8713.,1.174504e-008,2.661715
858,8722.,1.167468e-008,2.670104
859,8731.,1.160463e-008,2.679165
860,8740.,1.153488e-008,2.688918
861,8749.,1.146542e-008,2.699385
862,8758.,1.139623e-008,2.710587
863,8767.,1.13273e-008,2.722547
864,8776.,1.125861e-008,2.735289
865,8785.,1.119016e-008,2.74884
866,8794.,1.112192e-008,2.763227
867,8803.,1.105388e-008,2.778478
868,8812.,1.098603e-008,2.794625
869,8821.,1.091836e-008,2.8117
870,8830.,1.085084e-008,2.829736
871,8839.,1.078347e-008,2.848769
872,8848.,1.071623e-008,2.868839
873,8857.,1.06491e-008,2.889986
874,8866.,1.058207e-008,2.912252
875,8875.,1.051513e-008,2.935683
876,8884.,1.044825e-008,2.960328
877,8893.,1.038142e-008,2.986236
878,8902.,1.031463e-008,3.013463
879,8911.,1.024786e-008,3.042066
880,8920.,1.018109e-008,3.072105
881,8929.,1.01143e-008,3.103647
882,8938.,1.004748e-008,3.13676
883,8947.,9.980613e-009,3.171517
884,8956.,9.913674e-009,3.207996
885,8965.,9.846647e-009,3.246282
886,8974.,9.779512e-009,3.286462
887,8983.,9.71225e-009,3.328632
888,8992.,9.64484e-009,3.372892
889,9001.,9.577261e-009,3.419351
890,9010.,9.509494e-009,3.468122
891,9019.,9.441513e-009,3.519332
892,9028.,9.373299e-009,3.573111
893,9037.,9.304827e-009,3.629602
894,9046.,9.236073e-009,3.688955
895,9055.,9.167013e-009,3.751335
896,9064.,9.09762e-009,3.816917
897,9073.,9.027868e-009,3.885889
898,9082.,8.957731e-009,3.958454
899,9091.,8.887179e-009,4.034831
900,9100.,8.816185e-009,4.115256
901,9109.,8.744717e-009,4.199984
902,9118.,8.672743e-009,4.289292
903,9127.,8.600234e-009,4.383475
904,9136.,8.527153e-009,4.48286
905,9145.,8.453469e-009,4.587795
906,9154.,8.379143e-009,4.698663
907,9163.,8.304139e-009,4.815878
908,9172.,8.22842e-009,4.93989
909,9181.,8.151945e-009,5.071194
910,9190.,8.074673e-009,5.210326
911,9199.,7.996562e-009,5.357875
912,9208.,7.917569e-009,5.514486
913,9217.,7.837647e-009,5.680865
914,9226.,7.756752e-009,5.85779
915,9235.,7.674835e-009,6.046117
916,9244.,7.591846e-009,6.246786
917,9253.,7.507738e-009,6.46084
918,9262.,7.422459e-009,6.68943
919,9271.,7.335957e-009,6.933833
920,9280.,7.248181e-009,7.195464
921,9289.,7.159079e-009,7.475899
922,9298.,7.068601e-009,7.776894
923,9307.,6.976695e-009,8.100408
924,9316.,6.883315e-009,8.448634
925,9325.,6.788414e-009,8.824029
926,9334.,6.691952e-009,9.229353
927,9343.,6.593893e-009,9.667713
928,9352.,6.494212e-009,10.14261
929,9361.,6.39289e-009,10.65801
930,9370.,6.289926e-009,11.21839
931,9379.,6.185334e-009,11.82883
932,9388.,6.079153e-009,12.4951
933,9397.,5.97145e-009,13.22376
934,9406.,5.862333e-009,14.02225
935,9415.,5.751952e-009,14.89905
936,9424.,5.640523e-009,15.86379
937,9433.,5.528335e-009,16.92741
938,9442.,5.415773e-009,18.10229
939,9451.,5.303344e-009,19.40236
940,9460.,5.191704e-009,20.84325
941,9469.,5.081697e-009,22.44224
942,9478.,4.974402e-009,24.21823
943,9487.,4.871185e-009,26.19135
944,9496.,4.773759e-009,28.38243
945,9505.,4.684257e-009,30.8119
946,9514.,4.605305e-009,33.49813
947,9523.,4.540087e-009,36.45502
948,9532.,4.492407e-009,39.68878
949,9541.,4.466703e-009,43.19396
950,9550.,4.468029e-009,46.94927
951,9559.,4.501957e-009,50.9139
952,9568.,4.574407e-009,55.0257
953,9577.,4.691418e-009,59.20232
954,9586.,4.85889e-009,63.3461
955,9595.,5.082347e-009,67.35206
956,9604.,5.366775e-009,71.11747
957,9613.,5.716558e-009,74.55053
958,9622.,6.135505e-009,77.5761
959,9631.,6.626905e-009,80.13795
960,9640.,7.193568e-009,82.19756
961,9649.,7.837763e-009,83.73109
962,9658.,8.561006e-009,84.72543
963,9667.,9.363643e-009,85.17477
964,9676.,1.024419e-008,85.07799
965,9685.,1.119843e-008,84.43751
966,9694.,1.221829e-008,83.25944
967,9703.,1.329056e-008,81.55517
968,9712.,1.43959e-008,79.34404
969,9721.,1.550814e-008,76.65669
970,9730.,1.659489e-008,73.53839
971,9739.,1.761938e-008,70.05119
972,9748.,1.854411e-008,66.27375
973,9757.,1.933553e-008,62.29805
974,9766.,1.996878e-008,58.22311
975,9775.,2.043107e-008,54.1466
976,9784.,2.072266e-008,50.15661
977,9793.,2.085533e-008,46.32527
978,9802.,2.084906e-008,42.7054
979,9811.,2.072813e-008,39.33041
980,9820.,2.051762e-008,36.21653
981,9829.,2.024093e-008,33.36627
982,9838.,1.991836e-008,30.77227
983,9847.,1.956656e-008,28.42067
984,9856.,1.919864e-008,26.29396
985,9865.,1.88245e-008,24.37297
986,9874.,1.845143e-008,22.63833
987,9883.,1.808454e-008,21.07131
988,9892.,1.772734e-008,19.65439
989,9901.,1.738209e-008,18.3715
990,9910.,1.705012e-008,17.20812
991,9919.,1.67321e-008,16.15121
992,9928.,1.642825e-008,15.18921
993,9937.,1.613843e-008,14.31184
994,9946.,1.586231e-008,13.51004
995,9955.,1.559939e-008,12.77582
996,9964.,1.53491e-008,12.1021
997,9973.,1.511082e-008,11.48268
998,9982.,1.48839e-008,10.91206
999,9991.,1.466771e-008,10.38539
1000,10000.,1.446161e-008,9.898368
