
MAT_K: 
[ 1, 1]: 1.111e+08 [ 1, 2]: 0.000e+00 [ 1, 3]: 0.000e+00 [ 1, 4]: 0.000e+00 [ 1, 5]: 0.000e+00 [ 1, 6]: 0.000e+00 [ 1, 7]:-1.111e+08 [ 1, 8]: 0.000e+00 [ 1, 9]: 0.000e+00 [ 1,10]: 0.000e+00 [ 1,11]: 0.000e+00 [ 1,12]: 0.000e+00 [ 1,13]: 0.000e+00 [ 1,14]: 0.000e+00 [ 1,15]: 0.000e+00 [ 1,16]: 0.000e+00 [ 1,17]: 0.000e+00 [ 1,18]: 0.000e+00 [ 1,19]: 0.000e+00 [ 1,20]: 0.000e+00 [ 1,21]: 0.000e+00 [ 1,22]: 0.000e+00 [ 1,23]: 0.000e+00 [ 1,24]: 0.000e+00 [ 1,25]: 0.000e+00 [ 1,26]: 0.000e+00 [ 1,27]: 0.000e+00 [ 1,28]: 0.000e+00 [ 1,29]: 0.000e+00 [ 1,30]: 0.000e+00 [ 1,31]: 0.000e+00 [ 1,32]: 0.000e+00 [ 1,33]: 0.000e+00 [ 1,34]: 0.000e+00 [ 1,35]: 0.000e+00 [ 1,36]: 0.000e+00 [ 1,37]: 0.000e+00 [ 1,38]: 0.000e+00 [ 1,39]: 0.000e+00 [ 1,40]: 0.000e+00 [ 1,41]: 0.000e+00 [ 1,42]: 0.000e+00 [ 1,43]: 0.000e+00 [ 1,44]: 0.000e+00 [ 1,45]: 0.000e+00 [ 1,46]: 0.000e+00 [ 1,47]: 0.000e+00 [ 1,48]: 0.000e+00 
[31, 1]: 0.000e+00 [31, 2]: 0.000e+00 [31, 3]: 0.000e+00 [31, 4]: 0.000e+00 [31, 5]: 0.000e+00 [31, 6]: 0.000e+00 [31, 7]: 0.000e+00 [31, 8]: 0.000e+00 [31, 9]: 0.000e+00 [31,10]: 0.000e+00 [31,11]: 0.000e+00 [31,12]: 0.000e+00 [31,13]: 0.000e+00 [31,14]: 0.000e+00 [31,15]: 0.000e+00 [31,16]: 0.000e+00 [31,17]: 0.000e+00 [31,18]: 0.000e+00 [31,19]: 0.000e+00 [31,20]: 0.000e+00 [31,21]: 0.000e+00 [31,22]: 0.000e+00 [31,23]: 0.000e+00 [31,24]: 0.000e+00 [31,25]: 0.000e+00 [31,26]: 0.000e+00 [31,27]: 0.000e+00 [31,28]: 0.000e+00 [31,29]: 0.000e+00 [31,30]: 0.000e+00 [31,31]: 8.927e+10 [31,32]: 0.000e+00 [31,33]: 0.000e+00 [31,34]: 0.000e+00 [31,35]: 0.000e+00 [31,36]: 0.000e+00 [31,37]: 0.000e+00 [31,38]: 0.000e+00 [31,39]: 0.000e+00 [31,40]: 0.000e+00 [31,41]: 0.000e+00 [31,42]: 0.000e+00 [31,43]: 0.000e+00 [31,44]: 0.000e+00 [31,45]: 0.000e+00 [31,46]: 0.000e+00 [31,47]: 0.000e+00 [31,48]: 0.000e+00 
[32, 1]: 0.000e+00 [32, 2]: 0.000e+00 [32, 3]: 0.000e+00 [32, 4]: 0.000e+00 [32, 5]: 0.000e+00 [32, 6]: 0.000e+00 [32, 7]: 0.000e+00 [32, 8]: 0.000e+00 [32, 9]: 0.000e+00 [32,10]: 0.000e+00 [32,11]: 0.000e+00 [32,12]: 0.000e+00 [32,13]: 0.000e+00 [32,14]: 0.000e+00 [32,15]: 0.000e+00 [32,16]: 0.000e+00 [32,17]: 0.000e+00 [32,18]: 0.000e+00 [32,19]: 0.000e+00 [32,20]: 0.000e+00 [32,21]: 0.000e+00 [32,22]: 0.000e+00 [32,23]: 0.000e+00 [32,24]: 0.000e+00 [32,25]: 0.000e+00 [32,26]: 0.000e+00 [32,27]: 0.000e+00 [32,28]: 0.000e+00 [32,29]: 0.000e+00 [32,30]: 0.000e+00 [32,31]: 0.000e+00 [32,32]: 1.114e+11 [32,33]: 0.000e+00 [32,34]: 0.000e+00 [32,35]: 0.000e+00 [32,36]: 0.000e+00 [32,37]: 0.000e+00 [32,38]: 0.000e+00 [32,39]: 0.000e+00 [32,40]: 0.000e+00 [32,41]: 0.000e+00 [32,42]: 0.000e+00 [32,43]: 0.000e+00 [32,44]: 0.000e+00 [32,45]: 0.000e+00 [32,46]: 0.000e+00 [32,47]: 0.000e+00 [32,48]: 0.000e+00 
[33, 1]: 0.000e+00 [33, 2]: 0.000e+00 [33, 3]: 0.000e+00 [33, 4]: 0.000e+00 [33, 5]: 0.000e+00 [33, 6]: 0.000e+00 [33, 7]: 0.000e+00 [33, 8]: 0.000e+00 [33, 9]: 0.000e+00 [33,10]: 0.000e+00 [33,11]: 0.000e+00 [33,12]: 0.000e+00 [33,13]: 0.000e+00 [33,14]: 0.000e+00 [33,15]: 0.000e+00 [33,16]: 0.000e+00 [33,17]: 0.000e+00 [33,18]: 0.000e+00 [33,19]: 0.000e+00 [33,20]: 0.000e+00 [33,21]: 0.000e+00 [33,22]: 0.000e+00 [33,23]: 0.000e+00 [33,24]: 0.000e+00 [33,25]: 0.000e+00 [33,26]: 0.000e+00 [33,27]: 0.000e+00 [33,28]: 0.000e+00 [33,29]: 0.000e+00 [33,30]: 0.000e+00 [33,31]: 0.000e+00 [33,32]: 0.000e+00 [33,33]: 1.114e+11 [33,34]: 0.000e+00 [33,35]: 0.000e+00 [33,36]: 0.000e+00 [33,37]: 0.000e+00 [33,38]: 0.000e+00 [33,39]: 0.000e+00 [33,40]: 0.000e+00 [33,41]: 0.000e+00 [33,42]: 0.000e+00 [33,43]: 0.000e+00 [33,44]: 0.000e+00 [33,45]: 0.000e+00 [33,46]: 0.000e+00 [33,47]: 0.000e+00 [33,48]: 0.000e+00 
[34, 1]: 0.000e+00 [34, 2]: 0.000e+00 [34, 3]: 0.000e+00 [34, 4]: 0.000e+00 [34, 5]: 0.000e+00 [34, 6]: 0.000e+00 [34, 7]: 0.000e+00 [34, 8]: 0.000e+00 [34, 9]: 0.000e+00 [34,10]: 0.000e+00 [34,11]: 0.000e+00 [34,12]: 0.000e+00 [34,13]: 0.000e+00 [34,14]: 0.000e+00 [34,15]: 0.000e+00 [34,16]: 0.000e+00 [34,17]: 0.000e+00 [34,18]: 0.000e+00 [34,19]: 0.000e+00 [34,20]: 0.000e+00 [34,21]: 0.000e+00 [34,22]: 0.000e+00 [34,23]: 0.000e+00 [34,24]: 0.000e+00 [34,25]: 0.000e+00 [34,26]: 0.000e+00 [34,27]: 0.000e+00 [34,28]: 0.000e+00 [34,29]: 0.000e+00 [34,30]: 0.000e+00 [34,31]: 0.000e+00 [34,32]: 0.000e+00 [34,33]: 0.000e+00 [34,34]: 1.175e+11 [34,35]: 0.000e+00 [34,36]: 0.000e+00 [34,37]: 0.000e+00 [34,38]: 0.000e+00 [34,39]: 0.000e+00 [34,40]: 0.000e+00 [34,41]: 0.000e+00 [34,42]: 0.000e+00 [34,43]: 0.000e+00 [34,44]: 0.000e+00 [34,45]: 0.000e+00 [34,46]: 0.000e+00 [34,47]: 0.000e+00 [34,48]: 0.000e+00 
[35, 1]: 0.000e+00 [35, 2]: 0.000e+00 [35, 3]: 0.000e+00 [35, 4]: 0.000e+00 [35, 5]: 0.000e+00 [35, 6]: 0.000e+00 [35, 7]: 0.000e+00 [35, 8]: 0.000e+00 [35, 9]: 0.000e+00 [35,10]: 0.000e+00 [35,11]: 0.000e+00 [35,12]: 0.000e+00 [35,13]: 0.000e+00 [35,14]: 0.000e+00 [35,15]: 0.000e+00 [35,16]: 0.000e+00 [35,17]: 0.000e+00 [35,18]: 0.000e+00 [35,19]: 0.000e+00 [35,20]: 0.000e+00 [35,21]: 0.000e+00 [35,22]: 0.000e+00 [35,23]: 0.000e+00 [35,24]: 0.000e+00 [35,25]: 0.000e+00 [35,26]: 0.000e+00 [35,27]: 0.000e+00 [35,28]: 0.000e+00 [35,29]: 0.000e+00 [35,30]: 0.000e+00 [35,31]: 0.000e+00 [35,32]: 0.000e+00 [35,33]: 0.000e+00 [35,34]: 0.000e+00 [35,35]: 1.757e+11 [35,36]: 0.000e+00 [35,37]: 0.000e+00 [35,38]: 0.000e+00 [35,39]: 0.000e+00 [35,40]: 0.000e+00 [35,41]: 0.000e+00 [35,42]: 0.000e+00 [35,43]: 0.000e+00 [35,44]: 0.000e+00 [35,45]: 0.000e+00 [35,46]: 0.000e+00 [35,47]: 0.000e+00 [35,48]: 0.000e+00 
[36, 1]: 0.000e+00 [36, 2]: 0.000e+00 [36, 3]: 0.000e+00 [36, 4]: 0.000e+00 [36, 5]: 0.000e+00 [36, 6]: 0.000e+00 [36, 7]: 0.000e+00 [36, 8]: 0.000e+00 [36, 9]: 0.000e+00 [36,10]: 0.000e+00 [36,11]: 0.000e+00 [36,12]: 0.000e+00 [36,13]: 0.000e+00 [36,14]: 0.000e+00 [36,15]: 0.000e+00 [36,16]: 0.000e+00 [36,17]: 0.000e+00 [36,18]: 0.000e+00 [36,19]: 0.000e+00 [36,20]: 0.000e+00 [36,21]: 0.000e+00 [36,22]: 0.000e+00 [36,23]: 0.000e+00 [36,24]: 0.000e+00 [36,25]: 0.000e+00 [36,26]: 0.000e+00 [36,27]: 0.000e+00 [36,28]: 0.000e+00 [36,29]: 0.000e+00 [36,30]: 0.000e+00 [36,31]: 0.000e+00 [36,32]: 0.000e+00 [36,33]: 0.000e+00 [36,34]: 0.000e+00 [36,35]: 0.000e+00 [36,36]: 1.757e+11 [36,37]: 0.000e+00 [36,38]: 0.000e+00 [36,39]: 0.000e+00 [36,40]: 0.000e+00 [36,41]: 0.000e+00 [36,42]: 0.000e+00 [36,43]: 0.000e+00 [36,44]: 0.000e+00 [36,45]: 0.000e+00 [36,46]: 0.000e+00 [36,47]: 0.000e+00 [36,48]: 0.000e+00 
[37, 1]: 0.000e+00 [37, 2]: 0.000e+00 [37, 3]: 0.000e+00 [37, 4]: 0.000e+00 [37, 5]: 0.000e+00 [37, 6]: 0.000e+00 [37, 7]: 0.000e+00 [37, 8]: 0.000e+00 [37, 9]: 0.000e+00 [37,10]: 0.000e+00 [37,11]: 0.000e+00 [37,12]: 0.000e+00 [37,13]: 0.000e+00 [37,14]: 0.000e+00 [37,15]: 0.000e+00 [37,16]: 0.000e+00 [37,17]: 0.000e+00 [37,18]: 0.000e+00 [37,19]: 0.000e+00 [37,20]: 0.000e+00 [37,21]: 0.000e+00 [37,22]: 0.000e+00 [37,23]: 0.000e+00 [37,24]: 0.000e+00 [37,25]: 0.000e+00 [37,26]: 0.000e+00 [37,27]: 0.000e+00 [37,28]: 0.000e+00 [37,29]: 0.000e+00 [37,30]: 0.000e+00 [37,31]: 0.000e+00 [37,32]: 0.000e+00 [37,33]: 0.000e+00 [37,34]: 0.000e+00 [37,35]: 0.000e+00 [37,36]: 0.000e+00 [37,37]: 1.836e+11 [37,38]: 0.000e+00 [37,39]: 0.000e+00 [37,40]: 0.000e+00 [37,41]: 0.000e+00 [37,42]: 0.000e+00 [37,43]: 0.000e+00 [37,44]: 0.000e+00 [37,45]: 0.000e+00 [37,46]: 0.000e+00 [37,47]: 0.000e+00 [37,48]: 0.000e+00 
[38, 1]: 0.000e+00 [38, 2]: 0.000e+00 [38, 3]: 0.000e+00 [38, 4]: 0.000e+00 [38, 5]: 0.000e+00 [38, 6]: 0.000e+00 [38, 7]: 0.000e+00 [38, 8]: 0.000e+00 [38, 9]: 0.000e+00 [38,10]: 0.000e+00 [38,11]: 0.000e+00 [38,12]: 0.000e+00 [38,13]: 0.000e+00 [38,14]: 0.000e+00 [38,15]: 0.000e+00 [38,16]: 0.000e+00 [38,17]: 0.000e+00 [38,18]: 0.000e+00 [38,19]: 0.000e+00 [38,20]: 0.000e+00 [38,21]: 0.000e+00 [38,22]: 0.000e+00 [38,23]: 0.000e+00 [38,24]: 0.000e+00 [38,25]: 0.000e+00 [38,26]: 0.000e+00 [38,27]: 0.000e+00 [38,28]: 0.000e+00 [38,29]: 0.000e+00 [38,30]: 0.000e+00 [38,31]: 0.000e+00 [38,32]: 0.000e+00 [38,33]: 0.000e+00 [38,34]: 0.000e+00 [38,35]: 0.000e+00 [38,36]: 0.000e+00 [38,37]: 0.000e+00 [38,38]: 2.008e+11 [38,39]: 0.000e+00 [38,40]: 0.000e+00 [38,41]: 0.000e+00 [38,42]: 0.000e+00 [38,43]: 0.000e+00 [38,44]: 0.000e+00 [38,45]: 0.000e+00 [38,46]: 0.000e+00 [38,47]: 0.000e+00 [38,48]: 0.000e+00 
[39, 1]: 0.000e+00 [39, 2]: 0.000e+00 [39, 3]: 0.000e+00 [39, 4]: 0.000e+00 [39, 5]: 0.000e+00 [39, 6]: 0.000e+00 [39, 7]: 0.000e+00 [39, 8]: 0.000e+00 [39, 9]: 0.000e+00 [39,10]: 0.000e+00 [39,11]: 0.000e+00 [39,12]: 0.000e+00 [39,13]: 0.000e+00 [39,14]: 0.000e+00 [39,15]: 0.000e+00 [39,16]: 0.000e+00 [39,17]: 0.000e+00 [39,18]: 0.000e+00 [39,19]: 0.000e+00 [39,20]: 0.000e+00 [39,21]: 0.000e+00 [39,22]: 0.000e+00 [39,23]: 0.000e+00 [39,24]: 0.000e+00 [39,25]: 0.000e+00 [39,26]: 0.000e+00 [39,27]: 0.000e+00 [39,28]: 0.000e+00 [39,29]: 0.000e+00 [39,30]: 0.000e+00 [39,31]: 0.000e+00 [39,32]: 0.000e+00 [39,33]: 0.000e+00 [39,34]: 0.000e+00 [39,35]: 0.000e+00 [39,36]: 0.000e+00 [39,37]: 0.000e+00 [39,38]: 0.000e+00 [39,39]: 2.559e+11 [39,40]: 0.000e+00 [39,41]: 0.000e+00 [39,42]: 0.000e+00 [39,43]: 0.000e+00 [39,44]: 0.000e+00 [39,45]: 0.000e+00 [39,46]: 0.000e+00 [39,47]: 0.000e+00 [39,48]: 0.000e+00 
[40, 1]: 0.000e+00 [40, 2]: 0.000e+00 [40, 3]: 0.000e+00 [40, 4]: 0.000e+00 [40, 5]: 0.000e+00 [40, 6]: 0.000e+00 [40, 7]: 0.000e+00 [40, 8]: 0.000e+00 [40, 9]: 0.000e+00 [40,10]: 0.000e+00 [40,11]: 0.000e+00 [40,12]: 0.000e+00 [40,13]: 0.000e+00 [40,14]: 0.000e+00 [40,15]: 0.000e+00 [40,16]: 0.000e+00 [40,17]: 0.000e+00 [40,18]: 0.000e+00 [40,19]: 0.000e+00 [40,20]: 0.000e+00 [40,21]: 0.000e+00 [40,22]: 0.000e+00 [40,23]: 0.000e+00 [40,24]: 0.000e+00 [40,25]: 0.000e+00 [40,26]: 0.000e+00 [40,27]: 0.000e+00 [40,28]: 0.000e+00 [40,29]: 0.000e+00 [40,30]: 0.000e+00 [40,31]: 0.000e+00 [40,32]: 0.000e+00 [40,33]: 0.000e+00 [40,34]: 0.000e+00 [40,35]: 0.000e+00 [40,36]: 0.000e+00 [40,37]: 0.000e+00 [40,38]: 0.000e+00 [40,39]: 0.000e+00 [40,40]: 2.559e+11 [40,41]: 0.000e+00 [40,42]: 0.000e+00 [40,43]: 0.000e+00 [40,44]: 0.000e+00 [40,45]: 0.000e+00 [40,46]: 0.000e+00 [40,47]: 0.000e+00 [40,48]: 0.000e+00 
[41, 1]: 0.000e+00 [41, 2]: 0.000e+00 [41, 3]: 0.000e+00 [41, 4]: 0.000e+00 [41, 5]: 0.000e+00 [41, 6]: 0.000e+00 [41, 7]: 0.000e+00 [41, 8]: 0.000e+00 [41, 9]: 0.000e+00 [41,10]: 0.000e+00 [41,11]: 0.000e+00 [41,12]: 0.000e+00 [41,13]: 0.000e+00 [41,14]: 0.000e+00 [41,15]: 0.000e+00 [41,16]: 0.000e+00 [41,17]: 0.000e+00 [41,18]: 0.000e+00 [41,19]: 0.000e+00 [41,20]: 0.000e+00 [41,21]: 0.000e+00 [41,22]: 0.000e+00 [41,23]: 0.000e+00 [41,24]: 0.000e+00 [41,25]: 0.000e+00 [41,26]: 0.000e+00 [41,27]: 0.000e+00 [41,28]: 0.000e+00 [41,29]: 0.000e+00 [41,30]: 0.000e+00 [41,31]: 0.000e+00 [41,32]: 0.000e+00 [41,33]: 0.000e+00 [41,34]: 0.000e+00 [41,35]: 0.000e+00 [41,36]: 0.000e+00 [41,37]: 0.000e+00 [41,38]: 0.000e+00 [41,39]: 0.000e+00 [41,40]: 0.000e+00 [41,41]: 2.644e+11 [41,42]: 0.000e+00 [41,43]: 0.000e+00 [41,44]: 0.000e+00 [41,45]: 0.000e+00 [41,46]: 0.000e+00 [41,47]: 0.000e+00 [41,48]: 0.000e+00 
[42, 1]: 0.000e+00 [42, 2]: 0.000e+00 [42, 3]: 0.000e+00 [42, 4]: 0.000e+00 [42, 5]: 0.000e+00 [42, 6]: 0.000e+00 [42, 7]: 0.000e+00 [42, 8]: 0.000e+00 [42, 9]: 0.000e+00 [42,10]: 0.000e+00 [42,11]: 0.000e+00 [42,12]: 0.000e+00 [42,13]: 0.000e+00 [42,14]: 0.000e+00 [42,15]: 0.000e+00 [42,16]: 0.000e+00 [42,17]: 0.000e+00 [42,18]: 0.000e+00 [42,19]: 0.000e+00 [42,20]: 0.000e+00 [42,21]: 0.000e+00 [42,22]: 0.000e+00 [42,23]: 0.000e+00 [42,24]: 0.000e+00 [42,25]: 0.000e+00 [42,26]: 0.000e+00 [42,27]: 0.000e+00 [42,28]: 0.000e+00 [42,29]: 0.000e+00 [42,30]: 0.000e+00 [42,31]: 0.000e+00 [42,32]: 0.000e+00 [42,33]: 0.000e+00 [42,34]: 0.000e+00 [42,35]: 0.000e+00 [42,36]: 0.000e+00 [42,37]: 0.000e+00 [42,38]: 0.000e+00 [42,39]: 0.000e+00 [42,40]: 0.000e+00 [42,41]: 0.000e+00 [42,42]: 3.495e+11 [42,43]: 0.000e+00 [42,44]: 0.000e+00 [42,45]: 0.000e+00 [42,46]: 0.000e+00 [42,47]: 0.000e+00 [42,48]: 0.000e+00 
[43, 1]: 0.000e+00 [43, 2]: 0.000e+00 [43, 3]: 0.000e+00 [43, 4]: 0.000e+00 [43, 5]: 0.000e+00 [43, 6]: 0.000e+00 [43, 7]: 0.000e+00 [43, 8]: 0.000e+00 [43, 9]: 0.000e+00 [43,10]: 0.000e+00 [43,11]: 0.000e+00 [43,12]: 0.000e+00 [43,13]: 0.000e+00 [43,14]: 0.000e+00 [43,15]: 0.000e+00 [43,16]: 0.000e+00 [43,17]: 0.000e+00 [43,18]: 0.000e+00 [43,19]: 0.000e+00 [43,20]: 0.000e+00 [43,21]: 0.000e+00 [43,22]: 0.000e+00 [43,23]: 0.000e+00 [43,24]: 0.000e+00 [43,25]: 0.000e+00 [43,26]: 0.000e+00 [43,27]: 0.000e+00 [43,28]: 0.000e+00 [43,29]: 0.000e+00 [43,30]: 0.000e+00 [43,31]: 0.000e+00 [43,32]: 0.000e+00 [43,33]: 0.000e+00 [43,34]: 0.000e+00 [43,35]: 0.000e+00 [43,36]: 0.000e+00 [43,37]: 0.000e+00 [43,38]: 0.000e+00 [43,39]: 0.000e+00 [43,40]: 0.000e+00 [43,41]: 0.000e+00 [43,42]: 0.000e+00 [43,43]: 3.495e+11 [43,44]: 0.000e+00 [43,45]: 0.000e+00 [43,46]: 0.000e+00 [43,47]: 0.000e+00 [43,48]: 0.000e+00 
[44, 1]: 0.000e+00 [44, 2]: 0.000e+00 [44, 3]: 0.000e+00 [44, 4]: 0.000e+00 [44, 5]: 0.000e+00 [44, 6]: 0.000e+00 [44, 7]: 0.000e+00 [44, 8]: 0.000e+00 [44, 9]: 0.000e+00 [44,10]: 0.000e+00 [44,11]: 0.000e+00 [44,12]: 0.000e+00 [44,13]: 0.000e+00 [44,14]: 0.000e+00 [44,15]: 0.000e+00 [44,16]: 0.000e+00 [44,17]: 0.000e+00 [44,18]: 0.000e+00 [44,19]: 0.000e+00 [44,20]: 0.000e+00 [44,21]: 0.000e+00 [44,22]: 0.000e+00 [44,23]: 0.000e+00 [44,24]: 0.000e+00 [44,25]: 0.000e+00 [44,26]: 0.000e+00 [44,27]: 0.000e+00 [44,28]: 0.000e+00 [44,29]: 0.000e+00 [44,30]: 0.000e+00 [44,31]: 0.000e+00 [44,32]: 0.000e+00 [44,33]: 0.000e+00 [44,34]: 0.000e+00 [44,35]: 0.000e+00 [44,36]: 0.000e+00 [44,37]: 0.000e+00 [44,38]: 0.000e+00 [44,39]: 0.000e+00 [44,40]: 0.000e+00 [44,41]: 0.000e+00 [44,42]: 0.000e+00 [44,43]: 0.000e+00 [44,44]: 3.571e+11 [44,45]: 0.000e+00 [44,46]: 0.000e+00 [44,47]: 0.000e+00 [44,48]: 0.000e+00 
[45, 1]: 0.000e+00 [45, 2]: 0.000e+00 [45, 3]: 0.000e+00 [45, 4]: 0.000e+00 [45, 5]: 0.000e+00 [45, 6]: 0.000e+00 [45, 7]: 0.000e+00 [45, 8]: 0.000e+00 [45, 9]: 0.000e+00 [45,10]: 0.000e+00 [45,11]: 0.000e+00 [45,12]: 0.000e+00 [45,13]: 0.000e+00 [45,14]: 0.000e+00 [45,15]: 0.000e+00 [45,16]: 0.000e+00 [45,17]: 0.000e+00 [45,18]: 0.000e+00 [45,19]: 0.000e+00 [45,20]: 0.000e+00 [45,21]: 0.000e+00 [45,22]: 0.000e+00 [45,23]: 0.000e+00 [45,24]: 0.000e+00 [45,25]: 0.000e+00 [45,26]: 0.000e+00 [45,27]: 0.000e+00 [45,28]: 0.000e+00 [45,29]: 0.000e+00 [45,30]: 0.000e+00 [45,31]: 0.000e+00 [45,32]: 0.000e+00 [45,33]: 0.000e+00 [45,34]: 0.000e+00 [45,35]: 0.000e+00 [45,36]: 0.000e+00 [45,37]: 0.000e+00 [45,38]: 0.000e+00 [45,39]: 0.000e+00 [45,40]: 0.000e+00 [45,41]: 0.000e+00 [45,42]: 0.000e+00 [45,43]: 0.000e+00 [45,44]: 0.000e+00 [45,45]: 3.599e+11 [45,46]: 0.000e+00 [45,47]: 0.000e+00 [45,48]: 0.000e+00 
[46, 1]: 0.000e+00 [46, 2]: 0.000e+00 [46, 3]: 0.000e+00 [46, 4]: 0.000e+00 [46, 5]: 0.000e+00 [46, 6]: 0.000e+00 [46, 7]: 0.000e+00 [46, 8]: 0.000e+00 [46, 9]: 0.000e+00 [46,10]: 0.000e+00 [46,11]: 0.000e+00 [46,12]: 0.000e+00 [46,13]: 0.000e+00 [46,14]: 0.000e+00 [46,15]: 0.000e+00 [46,16]: 0.000e+00 [46,17]: 0.000e+00 [46,18]: 0.000e+00 [46,19]: 0.000e+00 [46,20]: 0.000e+00 [46,21]: 0.000e+00 [46,22]: 0.000e+00 [46,23]: 0.000e+00 [46,24]: 0.000e+00 [46,25]: 0.000e+00 [46,26]: 0.000e+00 [46,27]: 0.000e+00 [46,28]: 0.000e+00 [46,29]: 0.000e+00 [46,30]: 0.000e+00 [46,31]: 0.000e+00 [46,32]: 0.000e+00 [46,33]: 0.000e+00 [46,34]: 0.000e+00 [46,35]: 0.000e+00 [46,36]: 0.000e+00 [46,37]: 0.000e+00 [46,38]: 0.000e+00 [46,39]: 0.000e+00 [46,40]: 0.000e+00 [46,41]: 0.000e+00 [46,42]: 0.000e+00 [46,43]: 0.000e+00 [46,44]: 0.000e+00 [46,45]: 0.000e+00 [46,46]: 3.810e+11 [46,47]: 0.000e+00 [46,48]: 0.000e+00 
[47, 1]: 0.000e+00 [47, 2]: 0.000e+00 [47, 3]: 0.000e+00 [47, 4]: 0.000e+00 [47, 5]: 0.000e+00 [47, 6]: 0.000e+00 [47, 7]: 0.000e+00 [47, 8]: 0.000e+00 [47, 9]: 0.000e+00 [47,10]: 0.000e+00 [47,11]: 0.000e+00 [47,12]: 0.000e+00 [47,13]: 0.000e+00 [47,14]: 0.000e+00 [47,15]: 0.000e+00 [47,16]: 0.000e+00 [47,17]: 0.000e+00 [47,18]: 0.000e+00 [47,19]: 0.000e+00 [47,20]: 0.000e+00 [47,21]: 0.000e+00 [47,22]: 0.000e+00 [47,23]: 0.000e+00 [47,24]: 0.000e+00 [47,25]: 0.000e+00 [47,26]: 0.000e+00 [47,27]: 0.000e+00 [47,28]: 0.000e+00 [47,29]: 0.000e+00 [47,30]: 0.000e+00 [47,31]: 0.000e+00 [47,32]: 0.000e+00 [47,33]: 0.000e+00 [47,34]: 0.000e+00 [47,35]: 0.000e+00 [47,36]: 0.000e+00 [47,37]: 0.000e+00 [47,38]: 0.000e+00 [47,39]: 0.000e+00 [47,40]: 0.000e+00 [47,41]: 0.000e+00 [47,42]: 0.000e+00 [47,43]: 0.000e+00 [47,44]: 0.000e+00 [47,45]: 0.000e+00 [47,46]: 0.000e+00 [47,47]: 3.810e+11 [47,48]: 0.000e+00 
[48, 1]: 0.000e+00 [48, 2]: 0.000e+00 [48, 3]: 0.000e+00 [48, 4]: 0.000e+00 [48, 5]: 0.000e+00 [48, 6]: 0.000e+00 [48, 7]: 0.000e+00 [48, 8]: 0.000e+00 [48, 9]: 0.000e+00 [48,10]: 0.000e+00 [48,11]: 0.000e+00 [48,12]: 0.000e+00 [48,13]: 0.000e+00 [48,14]: 0.000e+00 [48,15]: 0.000e+00 [48,16]: 0.000e+00 [48,17]: 0.000e+00 [48,18]: 0.000e+00 [48,19]: 0.000e+00 [48,20]: 0.000e+00 [48,21]: 0.000e+00 [48,22]: 0.000e+00 [48,23]: 0.000e+00 [48,24]: 0.000e+00 [48,25]: 0.000e+00 [48,26]: 0.000e+00 [48,27]: 0.000e+00 [48,28]: 0.000e+00 [48,29]: 0.000e+00 [48,30]: 0.000e+00 [48,31]: 0.000e+00 [48,32]: 0.000e+00 [48,33]: 0.000e+00 [48,34]: 0.000e+00 [48,35]: 0.000e+00 [48,36]: 0.000e+00 [48,37]: 0.000e+00 [48,38]: 0.000e+00 [48,39]: 0.000e+00 [48,40]: 0.000e+00 [48,41]: 0.000e+00 [48,42]: 0.000e+00 [48,43]: 0.000e+00 [48,44]: 0.000e+00 [48,45]: 0.000e+00 [48,46]: 0.000e+00 [48,47]: 0.000e+00 [48,48]: 4.458e+11 
