
SUB_M: 
[ 1, 1]: 1.300e-04 [ 1, 2]: 0.000e+00 [ 1, 3]: 0.000e+00 [ 1, 4]: 0.000e+00 [ 1, 5]: 0.000e+00 [ 1, 6]: 0.000e+00 [ 1, 7]: 6.500e-05 [ 1, 8]: 0.000e+00 [ 1, 9]: 0.000e+00 [ 1,10]: 0.000e+00 [ 1,11]: 0.000e+00 [ 1,12]: 0.000e+00 [ 1,13]: 0.000e+00 [ 1,14]: 0.000e+00 [ 1,15]: 0.000e+00 [ 1,16]: 0.000e+00 [ 1,17]: 0.000e+00 [ 1,18]: 0.000e+00 [ 1,19]:-9.803e-19 [ 1,20]: 8.294e-19 [ 1,21]: 2.143e-18 [ 1,22]: 8.612e-19 [ 1,23]: 1.076e-18 [ 1,24]:-2.963e-19 
[12, 1]: 0.000e+00 [12, 2]:-6.041e-03 [12, 3]: 0.000e+00 [12, 4]: 0.000e+00 [12, 5]: 0.000e+00 [12, 6]:-6.968e-01 [12, 7]: 0.000e+00 [12, 8]: 4.621e-15 [12, 9]: 0.000e+00 [12,10]: 0.000e+00 [12,11]: 0.000e+00 [12,12]: 1.857e+00 [12,13]: 0.000e+00 [12,14]: 6.041e-03 [12,15]: 0.000e+00 [12,16]: 0.000e+00 [12,17]: 0.000e+00 [12,18]:-6.968e-01 [12,19]: 3.482e-04 [12,20]: 8.815e-01 [12,21]:-8.843e-01 [12,22]: 3.336e-03 [12,23]:-3.178e-01 [12,24]:-3.997e-04 
[13, 1]: 0.000e+00 [13, 2]: 0.000e+00 [13, 3]: 0.000e+00 [13, 4]: 0.000e+00 [13, 5]: 0.000e+00 [13, 6]: 0.000e+00 [13, 7]: 6.500e-05 [13, 8]: 0.000e+00 [13, 9]: 0.000e+00 [13,10]: 0.000e+00 [13,11]: 0.000e+00 [13,12]: 0.000e+00 [13,13]: 1.300e-04 [13,14]: 0.000e+00 [13,15]: 0.000e+00 [13,16]: 0.000e+00 [13,17]: 0.000e+00 [13,18]: 0.000e+00 [13,19]:-5.386e-19 [13,20]: 1.573e-18 [13,21]: 1.667e-18 [13,22]: 5.018e-19 [13,23]: 2.827e-18 [13,24]: 1.076e-18 
[14, 1]: 0.000e+00 [14, 2]: 0.000e+00 [14, 3]: 0.000e+00 [14, 4]: 0.000e+00 [14, 5]: 0.000e+00 [14, 6]: 0.000e+00 [14, 7]: 0.000e+00 [14, 8]: 5.017e-05 [14, 9]: 0.000e+00 [14,10]: 0.000e+00 [14,11]: 0.000e+00 [14,12]: 6.041e-03 [14,13]: 0.000e+00 [14,14]: 1.448e-04 [14,15]: 0.000e+00 [14,16]: 0.000e+00 [14,17]: 0.000e+00 [14,18]:-1.021e-02 [14,19]: 5.677e-06 [14,20]: 8.215e-03 [14,21]:-1.315e-05 [14,22]: 1.286e-05 [14,23]: 5.072e-03 [14,24]:-9.311e-05 
[15, 1]: 0.000e+00 [15, 2]: 0.000e+00 [15, 3]: 0.000e+00 [15, 4]: 0.000e+00 [15, 5]: 0.000e+00 [15, 6]: 0.000e+00 [15, 7]: 0.000e+00 [15, 8]: 0.000e+00 [15, 9]: 5.017e-05 [15,10]: 0.000e+00 [15,11]:-6.041e-03 [15,12]: 0.000e+00 [15,13]: 0.000e+00 [15,14]: 0.000e+00 [15,15]: 1.448e-04 [15,16]: 0.000e+00 [15,17]: 1.021e-02 [15,18]: 0.000e+00 [15,19]:-3.641e-06 [15,20]:-1.283e-05 [15,21]: 1.820e-05 [15,22]: 8.215e-03 [15,23]: 5.902e-05 [15,24]:-1.392e-06 
[16, 1]: 0.000e+00 [16, 2]: 0.000e+00 [16, 3]: 0.000e+00 [16, 4]: 0.000e+00 [16, 5]: 0.000e+00 [16, 6]: 0.000e+00 [16, 7]: 0.000e+00 [16, 8]: 0.000e+00 [16, 9]: 0.000e+00 [16,10]: 1.083e-03 [16,11]: 0.000e+00 [16,12]: 0.000e+00 [16,13]: 0.000e+00 [16,14]: 0.000e+00 [16,15]: 0.000e+00 [16,16]: 2.167e-03 [16,17]: 0.000e+00 [16,18]: 0.000e+00 [16,19]: 2.083e-18 [16,20]: 1.578e-18 [16,21]: 6.776e-18 [16,22]:-2.682e-18 [16,23]: 4.002e-18 [16,24]:-1.091e-18 
[17, 1]: 0.000e+00 [17, 2]: 0.000e+00 [17, 3]: 0.000e+00 [17, 4]: 0.000e+00 [17, 5]: 0.000e+00 [17, 6]: 0.000e+00 [17, 7]: 0.000e+00 [17, 8]: 0.000e+00 [17, 9]: 6.041e-03 [17,10]: 0.000e+00 [17,11]:-6.968e-01 [17,12]: 0.000e+00 [17,13]: 0.000e+00 [17,14]: 0.000e+00 [17,15]: 1.021e-02 [17,16]: 0.000e+00 [17,17]: 9.287e-01 [17,18]: 0.000e+00 [17,19]:-3.913e-04 [17,20]:-1.378e-03 [17,21]: 1.957e-03 [17,22]: 8.829e-01 [17,23]: 3.725e-03 [17,24]:-8.786e-05 
[18, 1]: 0.000e+00 [18, 2]: 0.000e+00 [18, 3]: 0.000e+00 [18, 4]: 0.000e+00 [18, 5]: 0.000e+00 [18, 6]: 0.000e+00 [18, 7]: 0.000e+00 [18, 8]:-6.041e-03 [18, 9]: 0.000e+00 [18,10]: 0.000e+00 [18,11]: 0.000e+00 [18,12]:-6.968e-01 [18,13]: 0.000e+00 [18,14]:-1.021e-02 [18,15]: 0.000e+00 [18,16]: 0.000e+00 [18,17]: 0.000e+00 [18,18]: 9.287e-01 [18,19]:-6.102e-04 [18,20]:-8.829e-01 [18,21]: 1.414e-03 [18,22]:-1.382e-03 [18,23]:-3.201e-01 [18,24]: 5.876e-03 
[19, 1]:-9.803e-19 [19, 2]: 2.438e-06 [19, 3]: 8.215e-03 [19, 4]:-2.284e-18 [19, 5]:-8.829e-01 [19, 6]: 2.620e-04 [19, 7]:-1.833e-18 [19, 8]: 8.115e-06 [19, 9]: 8.211e-03 [19,10]:-2.888e-18 [19,11]: 8.833e-01 [19,12]: 3.482e-04 [19,13]:-5.386e-19 [19,14]: 5.677e-06 [19,15]:-3.641e-06 [19,16]: 2.083e-18 [19,17]:-3.913e-04 [19,18]:-6.102e-04 [19,19]: 1.000e+00 [19,20]: 0.000e+00 [19,21]: 0.000e+00 [19,22]: 0.000e+00 [19,23]: 0.000e+00 [19,24]: 0.000e+00 
[20, 1]: 8.294e-19 [20, 2]: 1.318e-05 [20, 3]:-5.687e-06 [20, 4]: 3.028e-18 [20, 5]: 6.112e-04 [20, 6]: 1.417e-03 [20, 7]: 3.405e-18 [20, 8]: 8.228e-03 [20, 9]:-1.851e-05 [20,10]: 3.993e-19 [20,11]: 7.672e-04 [20,12]: 8.815e-01 [20,13]: 1.573e-18 [20,14]: 8.215e-03 [20,15]:-1.283e-05 [20,16]: 1.578e-18 [20,17]:-1.378e-03 [20,18]:-8.829e-01 [20,19]: 0.000e+00 [20,20]: 1.000e+00 [20,21]: 0.000e+00 [20,22]: 0.000e+00 [20,23]: 0.000e+00 [20,24]: 0.000e+00 
[21, 1]: 2.143e-18 [21, 2]: 8.215e-03 [21, 3]:-2.420e-06 [21, 4]:-3.436e-19 [21, 5]: 2.601e-04 [21, 6]: 8.829e-01 [21, 7]: 3.938e-18 [21, 8]: 8.202e-03 [21, 9]: 1.578e-05 [21,10]: 3.675e-18 [21,11]:-2.217e-03 [21,12]:-8.843e-01 [21,13]: 1.667e-18 [21,14]:-1.315e-05 [21,15]: 1.820e-05 [21,16]: 6.776e-18 [21,17]: 1.957e-03 [21,18]: 1.414e-03 [21,19]: 0.000e+00 [21,20]: 0.000e+00 [21,21]: 1.000e+00 [21,22]: 0.000e+00 [21,23]: 0.000e+00 [21,24]: 0.000e+00 
